epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.9916,3.76879,4.04555,3.60793,0.00041,0.01272,0.00023,7e-05,3.97925,4.82505,4.13618,0.003309,0.003309,0.003309
2,160.567,2.89883,2.54769,2.26436,0.56173,0.04408,0.03374,0.01327,2.55188,2.11222,1.9234,0.00660946,0.00660946,0.00660946
3,233.257,2.33396,1.97565,1.71751,0.51444,0.07928,0.05945,0.02592,2.25162,1.8424,1.64043,0.00987691,0.00987691,0.00987691
4,305.019,1.98125,1.55878,1.44532,0.43015,0.14659,0.11961,0.05703,1.80641,1.30354,1.35292,0.0098515,0.0098515,0.0098515
5,380.563,1.79306,1.32528,1.33586,0.29265,0.18404,0.15739,0.07538,1.67807,1.17649,1.27667,0.009802,0.009802,0.009802
6,454.438,1.68887,1.20974,1.28001,0.41157,0.21512,0.18905,0.09273,1.58694,1.06477,1.22613,0.0097525,0.0097525,0.0097525
7,526.103,1.62814,1.13327,1.24309,0.3244,0.22607,0.2026,0.0995,1.54232,1.03698,1.20028,0.009703,0.009703,0.009703
8,599.397,1.58816,1.08859,1.22055,0.42402,0.24376,0.21925,0.10927,1.51869,0.98938,1.18394,0.0096535,0.0096535,0.0096535
9,669.93,1.55095,1.0546,1.20097,0.45702,0.25878,0.23684,0.11874,1.47722,0.96403,1.16473,0.009604,0.009604,0.009604
10,740.28,1.52453,1.02594,1.18561,0.4759,0.26785,0.25221,0.128,1.45132,0.94392,1.15203,0.0095545,0.0095545,0.0095545
11,810.956,1.50459,1.00405,1.17561,0.36404,0.27218,0.2593,0.13417,1.43152,0.92259,1.14024,0.009505,0.009505,0.009505
12,880.424,1.4887,0.98634,1.16632,0.4875,0.27703,0.26914,0.13803,1.43332,0.91894,1.13634,0.0094555,0.0094555,0.0094555
13,951.36,1.47662,0.96979,1.15793,0.50959,0.28683,0.28212,0.14601,1.40616,0.89968,1.12483,0.009406,0.009406,0.009406
14,1022.37,1.46188,0.9562,1.15056,0.53301,0.29863,0.2949,0.15272,1.39812,0.88118,1.11833,0.0093565,0.0093565,0.0093565
15,1091.47,1.45055,0.95013,1.14448,0.42074,0.29454,0.29288,0.1515,1.40338,0.87621,1.11991,0.009307,0.009307,0.009307
16,1163.02,1.43915,0.9333,1.13547,0.52441,0.30051,0.30173,0.15774,1.38286,0.86738,1.10835,0.0092575,0.0092575,0.0092575
17,1237.4,1.4362,0.93397,1.13419,0.55201,0.30952,0.31562,0.1647,1.36951,0.85371,1.10279,0.009208,0.009208,0.009208
18,1306.43,1.43103,0.92953,1.13046,0.42846,0.32138,0.31761,0.1667,1.36462,0.85715,1.10013,0.0091585,0.0091585,0.0091585
19,1379.94,1.42209,0.91437,1.12549,0.44643,0.31447,0.32226,0.16834,1.36162,0.84737,1.09604,0.009109,0.009109,0.009109
20,1449.37,1.41799,0.91347,1.1206,0.45959,0.32763,0.33105,0.17313,1.35146,0.83159,1.09137,0.0090595,0.0090595,0.0090595
21,1520.64,1.40488,0.89953,1.11327,0.4579,0.32203,0.3301,0.17425,1.3522,0.83016,1.08921,0.00901,0.00901,0.00901
22,1588.76,1.4042,0.90061,1.11323,0.46422,0.32745,0.33604,0.17753,1.34241,0.82094,1.08432,0.0089605,0.0089605,0.0089605
23,1663.57,1.39719,0.89373,1.10902,0.46293,0.32913,0.3385,0.17776,1.34237,0.82133,1.08339,0.008911,0.008911,0.008911
24,1735.73,1.3959,0.88962,1.10689,0.47547,0.32572,0.34007,0.17864,1.33919,0.817,1.08183,0.0088615,0.0088615,0.0088615
25,1805.55,1.38422,0.88766,1.10265,0.47534,0.33317,0.34701,0.1814,1.32908,0.81763,1.07546,0.008812,0.008812,0.008812
26,1875.51,1.38114,0.88166,1.09842,0.55507,0.33884,0.34785,0.18208,1.33142,0.81146,1.07462,0.0087625,0.0087625,0.0087625
27,1943.73,1.38869,0.88119,1.0951,0.48331,0.33044,0.34704,0.18473,1.34276,0.82114,1.07156,0.008713,0.008713,0.008713
28,2011.42,1.40095,0.88957,1.09104,0.48477,0.33689,0.34969,0.18573,1.34588,0.81837,1.06733,0.0086635,0.0086635,0.0086635
29,2079.68,1.4057,0.89627,1.09037,0.58784,0.33252,0.3545,0.18877,1.35041,0.82345,1.06189,0.008614,0.008614,0.008614
30,2146.87,1.4054,0.89579,1.08453,0.56868,0.34304,0.35324,0.18824,1.35119,0.82239,1.05786,0.0085645,0.0085645,0.0085645
31,2213.9,1.40103,0.89134,1.07667,0.47771,0.346,0.35941,0.19014,1.35026,0.82029,1.05587,0.008515,0.008515,0.008515
32,2283.46,1.39938,0.89004,1.07595,0.48802,0.34064,0.35902,0.19144,1.34908,0.81607,1.05411,0.0084655,0.0084655,0.0084655
33,2350.03,1.40015,0.88783,1.07332,0.59633,0.34387,0.3635,0.19421,1.34407,0.8102,1.04934,0.008416,0.008416,0.008416
34,2416.62,1.3981,0.89205,1.07291,0.49029,0.35011,0.36645,0.19456,1.34332,0.81175,1.04768,0.0083665,0.0083665,0.0083665
35,2494.81,1.40017,0.88814,1.06824,0.48895,0.35354,0.37006,0.1957,1.34177,0.80899,1.04464,0.008317,0.008317,0.008317
36,2572.26,1.39433,0.88259,1.06675,0.49607,0.35311,0.37159,0.1989,1.33698,0.80583,1.04277,0.0082675,0.0082675,0.0082675
37,2656.1,1.38964,0.87838,1.06357,0.49753,0.34834,0.37208,0.19868,1.33419,0.80115,1.04162,0.008218,0.008218,0.008218
38,2736.95,1.39397,0.88067,1.06517,0.50172,0.34921,0.37092,0.19931,1.33076,0.80054,1.03838,0.0081685,0.0081685,0.0081685
39,2821.13,1.38508,0.87438,1.05975,0.50462,0.35174,0.3755,0.20094,1.33262,0.79928,1.03799,0.008119,0.008119,0.008119
40,2896.38,1.38736,0.87286,1.05905,0.49889,0.35819,0.37695,0.20206,1.32795,0.79298,1.03632,0.0080695,0.0080695,0.0080695
41,2970.06,1.38347,0.87148,1.05575,0.49208,0.36556,0.37909,0.20307,1.32922,0.79325,1.03559,0.00802,0.00802,0.00802
42,3046.14,1.38465,0.87301,1.05544,0.51337,0.35794,0.3813,0.20444,1.32366,0.78987,1.03165,0.0079705,0.0079705,0.0079705
43,3119.15,1.38177,0.8706,1.05465,0.50136,0.36193,0.38008,0.20544,1.32215,0.78854,1.03087,0.007921,0.007921,0.007921
44,3192.27,1.3749,0.86757,1.05038,0.51911,0.3605,0.38719,0.20822,1.31961,0.78458,1.02955,0.0078715,0.0078715,0.0078715
45,3264.33,1.37509,0.86363,1.04939,0.50119,0.36146,0.38502,0.20784,1.31696,0.78412,1.02661,0.007822,0.007822,0.007822
46,3337.06,1.36845,0.86167,1.04846,0.51842,0.36105,0.3866,0.20753,1.31831,0.78202,1.02592,0.0077725,0.0077725,0.0077725
47,3416,1.37286,0.86324,1.04745,0.5009,0.37244,0.38724,0.20888,1.31529,0.77869,1.02594,0.007723,0.007723,0.007723
48,3489.15,1.36553,0.86155,1.04532,0.50507,0.36644,0.3899,0.20916,1.31218,0.78085,1.02418,0.0076735,0.0076735,0.0076735
49,3561.03,1.36524,0.85883,1.04443,0.50914,0.36847,0.39129,0.21105,1.31167,0.77492,1.02246,0.007624,0.007624,0.007624
50,3633.57,1.36243,0.85486,1.0418,0.5211,0.36969,0.39407,0.2133,1.3101,0.77084,1.0204,0.0075745,0.0075745,0.0075745
51,3705.29,1.36311,0.8529,1.04187,0.51344,0.36553,0.39067,0.21185,1.30728,0.7742,1.02001,0.007525,0.007525,0.007525
52,3777.34,1.36313,0.8564,1.04018,0.51272,0.37101,0.39313,0.21388,1.30584,0.77041,1.01829,0.0074755,0.0074755,0.0074755
53,3848.82,1.36059,0.85497,1.04109,0.51582,0.37378,0.39515,0.21388,1.30569,0.76924,1.01803,0.007426,0.007426,0.007426
54,3921.46,1.36077,0.85432,1.04012,0.51683,0.37233,0.39497,0.21443,1.30542,0.76774,1.01718,0.0073765,0.0073765,0.0073765
55,4001.99,1.3622,0.84929,1.03688,0.51633,0.37449,0.39775,0.21496,1.30534,0.7669,1.01638,0.007327,0.007327,0.007327
56,4074.73,1.35879,0.84904,1.03624,0.51754,0.37728,0.40077,0.21656,1.30008,0.76407,1.01349,0.0072775,0.0072775,0.0072775
57,4147.31,1.34902,0.83986,1.03241,0.51096,0.38039,0.40086,0.21692,1.29946,0.76238,1.0131,0.007228,0.007228,0.007228
58,4221.9,1.35351,0.84525,1.03342,0.53457,0.37675,0.40405,0.21841,1.29866,0.76209,1.0121,0.0071785,0.0071785,0.0071785
59,4295.57,1.35293,0.84253,1.03346,0.52079,0.37627,0.40119,0.2174,1.29728,0.75981,1.01073,0.007129,0.007129,0.007129
60,4369,1.35269,0.84208,1.03084,0.52416,0.37537,0.40293,0.21861,1.29655,0.75853,1.01071,0.0070795,0.0070795,0.0070795
61,4443.58,1.35141,0.84556,1.03173,0.53354,0.37531,0.40525,0.21908,1.29499,0.76134,1.01053,0.00703,0.00703,0.00703
62,4518.81,1.34852,0.84151,1.03022,0.52723,0.38012,0.40722,0.22061,1.29537,0.75762,1.00866,0.0069805,0.0069805,0.0069805
63,4598.17,1.34817,0.84186,1.0288,0.52676,0.37673,0.40627,0.22138,1.29467,0.75577,1.00776,0.006931,0.006931,0.006931
64,4799.6,1.34476,0.83871,1.02711,0.53401,0.37247,0.40596,0.22066,1.29276,0.75358,1.00697,0.0068815,0.0068815,0.0068815
65,4878.64,1.34751,0.83728,1.02784,0.52464,0.38561,0.409,0.22199,1.29152,0.75323,1.00647,0.006832,0.006832,0.006832
66,4954.81,1.34257,0.83646,1.0275,0.5346,0.3804,0.40861,0.2224,1.29137,0.75194,1.00574,0.0067825,0.0067825,0.0067825
67,5055.26,1.34533,0.83698,1.02382,0.53315,0.38127,0.40938,0.22321,1.28986,0.75056,1.0044,0.006733,0.006733,0.006733
68,5130.14,1.3393,0.83292,1.02357,0.5272,0.38535,0.41073,0.22306,1.28881,0.75,1.00433,0.0066835,0.0066835,0.0066835
69,5204.06,1.34175,0.83269,1.02513,0.54131,0.37833,0.41114,0.22395,1.28892,0.75016,1.00361,0.006634,0.006634,0.006634
70,5281.52,1.3459,0.83402,1.02386,0.53528,0.3833,0.41326,0.22432,1.28731,0.74834,1.00279,0.0065845,0.0065845,0.0065845
71,5376.64,1.34353,0.83266,1.02489,0.53627,0.38708,0.41467,0.22466,1.28604,0.7474,1.00181,0.006535,0.006535,0.006535
72,5456.09,1.33774,0.83001,1.02091,0.53764,0.38293,0.41377,0.22526,1.28512,0.74608,1.00094,0.0064855,0.0064855,0.0064855
73,5529.36,1.33891,0.83106,1.01943,0.53063,0.38748,0.41506,0.226,1.28408,0.74565,1.00022,0.006436,0.006436,0.006436
74,5600.95,1.34145,0.83559,1.02303,0.53985,0.38556,0.41656,0.22647,1.28383,0.74473,0.99986,0.0063865,0.0063865,0.0063865
75,5677.81,1.33233,0.82708,1.01918,0.53555,0.38626,0.4172,0.22708,1.28289,0.74316,0.99898,0.006337,0.006337,0.006337
76,5758.18,1.33573,0.82396,1.01837,0.52842,0.39113,0.41783,0.22806,1.28323,0.74318,0.99902,0.0062875,0.0062875,0.0062875
77,5835.24,1.34019,0.83173,1.02165,0.54027,0.38535,0.41922,0.22867,1.28267,0.74307,0.99846,0.006238,0.006238,0.006238
78,5909.2,1.33575,0.82685,1.01902,0.53807,0.38643,0.41908,0.22814,1.28158,0.74171,0.99788,0.0061885,0.0061885,0.0061885
79,5980.77,1.33611,0.82612,1.0185,0.54408,0.388,0.41969,0.22911,1.28069,0.74048,0.99726,0.006139,0.006139,0.006139
80,6056.42,1.33408,0.82346,1.01764,0.54202,0.38596,0.4196,0.22905,1.28095,0.73987,0.99727,0.0060895,0.0060895,0.0060895
81,6156.68,1.32857,0.82208,1.01611,0.55353,0.38254,0.41904,0.22891,1.28022,0.73894,0.99683,0.00604,0.00604,0.00604
82,6229.24,1.32835,0.82107,1.01621,0.5477,0.38592,0.42067,0.22948,1.27954,0.73818,0.99625,0.0059905,0.0059905,0.0059905
83,6312.71,1.33108,0.82128,1.01552,0.54458,0.38611,0.42008,0.22958,1.2796,0.73754,0.99588,0.005941,0.005941,0.005941
84,6390.71,1.32803,0.81876,1.01652,0.54662,0.38683,0.42024,0.23004,1.2784,0.73673,0.99549,0.0058915,0.0058915,0.0058915
85,6519.55,1.3265,0.82039,1.01561,0.54856,0.39054,0.42192,0.23076,1.27779,0.73597,0.99516,0.005842,0.005842,0.005842
86,6595.31,1.3275,0.82164,1.01652,0.54248,0.39197,0.42268,0.23142,1.27731,0.7353,0.99489,0.0057925,0.0057925,0.0057925
87,6692.45,1.32443,0.8176,1.0125,0.53949,0.39691,0.42371,0.23161,1.27733,0.73543,0.99462,0.005743,0.005743,0.005743
88,6769.76,1.33143,0.823,1.01654,0.54941,0.39336,0.42359,0.23166,1.27705,0.73503,0.99428,0.0056935,0.0056935,0.0056935
89,6840.46,1.32449,0.81762,1.01179,0.54364,0.39383,0.42376,0.2317,1.27649,0.73475,0.99391,0.005644,0.005644,0.005644
90,6924.11,1.32316,0.81556,1.01153,0.54494,0.39238,0.42433,0.23231,1.27603,0.73417,0.99355,0.0055945,0.0055945,0.0055945
91,7002.28,1.31974,0.8121,1.01142,0.55232,0.39146,0.42518,0.2325,1.27553,0.73308,0.99335,0.005545,0.005545,0.005545
92,7157.34,1.32654,0.81814,1.01347,0.54908,0.393,0.4254,0.23251,1.27491,0.73233,0.99313,0.0054955,0.0054955,0.0054955
93,7232.33,1.31997,0.81445,1.01296,0.55168,0.3925,0.42614,0.2331,1.27456,0.73193,0.99286,0.005446,0.005446,0.005446
94,7309.2,1.32225,0.81257,1.01163,0.56364,0.39039,0.42672,0.23401,1.27426,0.73139,0.99254,0.0053965,0.0053965,0.0053965
95,7393.79,1.32229,0.81336,1.01313,0.55602,0.39191,0.42756,0.2344,1.27378,0.73096,0.99228,0.005347,0.005347,0.005347
96,7464.87,1.32204,0.81461,1.01261,0.55256,0.39337,0.42752,0.23471,1.27315,0.73048,0.99197,0.0052975,0.0052975,0.0052975
97,7536.5,1.32276,0.81448,1.01157,0.56007,0.3905,0.42774,0.23451,1.27263,0.73021,0.99164,0.005248,0.005248,0.005248
98,7609.04,1.32091,0.81179,1.01073,0.56028,0.39166,0.42804,0.23486,1.27265,0.72965,0.9915,0.0051985,0.0051985,0.0051985
99,7702.79,1.3161,0.80988,1.00951,0.55656,0.39419,0.42827,0.23493,1.27257,0.72939,0.99138,0.005149,0.005149,0.005149
100,7778.33,1.31294,0.80963,1.00888,0.56175,0.39279,0.42949,0.23536,1.27214,0.72882,0.99109,0.0050995,0.0050995,0.0050995
101,7892.1,1.32142,0.80934,1.00966,0.55666,0.39546,0.43006,0.23545,1.272,0.72847,0.99093,0.00505,0.00505,0.00505
102,7979.66,1.313,0.8057,1.00926,0.54958,0.39784,0.43012,0.23585,1.27171,0.72811,0.99082,0.0050005,0.0050005,0.0050005
103,8058.87,1.31535,0.80559,1.00803,0.56179,0.39353,0.43058,0.23613,1.27119,0.72744,0.99049,0.004951,0.004951,0.004951
104,8130.83,1.31455,0.80711,1.00817,0.56254,0.39309,0.43063,0.23621,1.27089,0.72715,0.99029,0.0049015,0.0049015,0.0049015
105,8209.56,1.31429,0.80521,1.00737,0.55879,0.39386,0.43132,0.23652,1.27064,0.72692,0.99016,0.004852,0.004852,0.004852
106,8294.42,1.31285,0.80513,1.00694,0.55894,0.3946,0.43192,0.23694,1.27049,0.72672,0.99015,0.0048025,0.0048025,0.0048025
107,8364.57,1.31509,0.80581,1.00889,0.5563,0.3955,0.43205,0.2372,1.27006,0.7264,0.98993,0.004753,0.004753,0.004753
108,8438.21,1.31271,0.80447,1.00857,0.56149,0.39219,0.43236,0.23735,1.26959,0.72615,0.98969,0.0047035,0.0047035,0.0047035
