epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.9365,3.73021,4.05174,3.56837,0.00049,0.0138,0.0003,9e-05,3.91354,4.84485,4.11367,0.003309,0.003309,0.003309
2,152.786,2.87192,2.49771,2.21786,0.58087,0.03871,0.03329,0.01386,2.50644,2.1834,1.92408,0.00660946,0.00660946,0.00660946
3,224.87,2.33299,1.9658,1.72174,0.4492,0.09946,0.07482,0.03218,2.1417,1.72941,1.58391,0.00987691,0.00987691,0.00987691
4,293.562,1.98221,1.56043,1.45529,0.42003,0.14444,0.12493,0.05864,1.81013,1.3085,1.35078,0.0098515,0.0098515,0.0098515
5,390.16,1.79325,1.32767,1.341,0.33378,0.17538,0.1573,0.07658,1.66134,1.15785,1.27565,0.009802,0.009802,0.009802
6,461.534,1.69153,1.21432,1.28426,0.39696,0.2041,0.18028,0.08897,1.60791,1.09702,1.23646,0.0097525,0.0097525,0.0097525
7,535.229,1.62963,1.13986,1.24766,0.31229,0.22292,0.19994,0.10017,1.53897,1.04346,1.20415,0.009703,0.009703,0.009703
8,612.224,1.58902,1.09321,1.22458,0.33868,0.2495,0.22555,0.1124,1.50897,0.99961,1.18376,0.0096535,0.0096535,0.0096535
9,702.205,1.5534,1.05989,1.20774,0.36698,0.25512,0.2347,0.11884,1.48479,0.96636,1.17378,0.009604,0.009604,0.009604
10,772.885,1.5295,1.02942,1.19284,0.38182,0.27175,0.25276,0.12897,1.45332,0.94165,1.15405,0.0095545,0.0095545,0.0095545
11,843.122,1.50664,1.00838,1.18129,0.38628,0.27228,0.25998,0.13383,1.43193,0.92684,1.14905,0.009505,0.009505,0.009505
12,917.735,1.49081,0.99146,1.17313,0.40075,0.28111,0.27417,0.14183,1.41989,0.90559,1.13789,0.0094555,0.0094555,0.0094555
13,989.218,1.47666,0.9762,1.16388,0.41103,0.27782,0.27684,0.14519,1.40858,0.90016,1.13252,0.009406,0.009406,0.009406
