epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,691.095,1.43371,1.96976,1.64119,0.35075,0.32274,0.2714,0.1473,1.72369,2.37722,1.92765,0.000457938,0.000457938,0.000457938
56,1381.09,1.51424,2.09002,1.69644,0.34386,0.31984,0.26935,0.14699,1.6874,2.37625,1.88245,0.000454844,0.000454844,0.000454844
57,2071.58,1.5121,2.06835,1.70276,0.34959,0.32008,0.2706,0.14975,1.69211,2.37104,1.9047,0.00045175,0.00045175,0.00045175
58,2764.05,1.4994,2.06855,1.687,0.35635,0.32441,0.27153,0.14861,1.69534,2.37032,1.88265,0.000448656,0.000448656,0.000448656
59,3455.32,1.57204,2.17893,1.73696,0.38063,0.31453,0.28134,0.15494,1.66369,2.3259,1.86572,0.000445562,0.000445562,0.000445562
60,4145.49,1.55845,2.14644,1.724,0.36762,0.3299,0.28542,0.1558,1.67443,2.30623,1.86339,0.000442469,0.000442469,0.000442469
61,4835.7,1.5488,2.14999,1.71933,0.36866,0.33396,0.29539,0.16362,1.65096,2.27454,1.84516,0.000439375,0.000439375,0.000439375
62,5525.67,1.53912,2.11559,1.71483,0.39681,0.32696,0.29203,0.16259,1.66502,2.27961,1.86432,0.000436281,0.000436281,0.000436281
63,6215.24,1.54369,2.12807,1.70905,0.39271,0.32504,0.2926,0.1642,1.6612,2.298,1.85531,0.000433187,0.000433187,0.000433187
64,6903.57,1.5393,2.11401,1.70588,0.38268,0.32173,0.29004,0.16229,1.66463,2.284,1.85639,0.000430094,0.000430094,0.000430094
65,7592.87,1.52983,2.09002,1.70108,0.38059,0.33716,0.29357,0.16335,1.64863,2.26606,1.83945,0.000427,0.000427,0.000427
66,8281.64,1.51408,2.06073,1.68976,0.37017,0.32632,0.29158,0.16252,1.65432,2.26561,1.84219,0.000423906,0.000423906,0.000423906
67,8971.18,1.51353,2.0438,1.68368,0.40149,0.32067,0.29674,0.16672,1.64434,2.25416,1.83071,0.000420812,0.000420812,0.000420812
68,9659.84,1.51975,2.0666,1.68791,0.37706,0.34666,0.30417,0.16922,1.65533,2.23294,1.84423,0.000417719,0.000417719,0.000417719
69,10349.7,1.5131,2.031,1.68583,0.37943,0.33676,0.29948,0.16732,1.65123,2.24307,1.83536,0.000414625,0.000414625,0.000414625
70,11038.5,1.49848,2.02851,1.6735,0.38506,0.34178,0.30247,0.16821,1.65138,2.23491,1.83198,0.000411531,0.000411531,0.000411531
71,11727.8,1.50524,2.02662,1.67702,0.39277,0.3445,0.30938,0.17251,1.65712,2.22882,1.84828,0.000408438,0.000408438,0.000408438
72,12416.7,1.50102,2.02477,1.67814,0.37816,0.32583,0.30143,0.17021,1.643,2.22484,1.82788,0.000405344,0.000405344,0.000405344
73,13105.8,1.48321,2.00243,1.65887,0.39794,0.32779,0.30514,0.17052,1.64803,2.23391,1.84026,0.00040225,0.00040225,0.00040225
74,13794.6,1.49459,1.99793,1.66093,0.38939,0.34248,0.3119,0.17574,1.64676,2.20224,1.82499,0.000399156,0.000399156,0.000399156
75,14483.4,1.47456,1.94842,1.6514,0.39434,0.33982,0.31633,0.17893,1.64239,2.20583,1.82395,0.000396063,0.000396063,0.000396063
76,15172.2,1.47819,1.96288,1.65077,0.39526,0.34027,0.31733,0.17656,1.64368,2.19426,1.83049,0.000392969,0.000392969,0.000392969
77,15861.9,1.48355,1.94717,1.65595,0.38666,0.34543,0.31445,0.17721,1.64629,2.20725,1.82861,0.000389875,0.000389875,0.000389875
78,16550.3,1.47307,1.92967,1.64113,0.39252,0.35163,0.32378,0.18205,1.64534,2.19888,1.82466,0.000386781,0.000386781,0.000386781
79,17239.6,1.46364,1.92729,1.64192,0.40575,0.34287,0.31176,0.1754,1.63984,2.22571,1.823,0.000383688,0.000383688,0.000383688
80,17927.8,1.46823,1.9297,1.63227,0.41526,0.33925,0.31536,0.17767,1.63112,2.20823,1.81629,0.000380594,0.000380594,0.000380594
81,18616.6,1.45224,1.88878,1.61775,0.4098,0.34219,0.32124,0.18109,1.64841,2.20107,1.82612,0.0003775,0.0003775,0.0003775
82,19305.8,1.4547,1.88691,1.62889,0.42002,0.34486,0.32818,0.18403,1.64013,2.18346,1.82276,0.000374406,0.000374406,0.000374406
83,19995,1.4544,1.88544,1.62705,0.40375,0.35662,0.32993,0.18646,1.64125,2.16697,1.82348,0.000371313,0.000371313,0.000371313
84,20683.8,1.46818,1.8931,1.63377,0.39941,0.35428,0.32205,0.18139,1.6438,2.19134,1.82362,0.000368219,0.000368219,0.000368219
85,21372.6,1.43934,1.86528,1.60923,0.39856,0.35507,0.33195,0.1864,1.63533,2.15465,1.81585,0.000365125,0.000365125,0.000365125
86,22061.7,1.44077,1.86883,1.6117,0.44187,0.33411,0.32885,0.18723,1.63968,2.16256,1.81138,0.000362031,0.000362031,0.000362031
87,22750.8,1.43483,1.84865,1.61522,0.42758,0.34981,0.3292,0.18535,1.62959,2.18264,1.80549,0.000358938,0.000358938,0.000358938
88,23439.8,1.43487,1.83822,1.60581,0.4081,0.35974,0.32779,0.18439,1.63228,2.17788,1.81199,0.000355844,0.000355844,0.000355844
89,24129,1.42841,1.84226,1.60863,0.39611,0.36837,0.33072,0.18528,1.63479,2.17476,1.82268,0.00035275,0.00035275,0.00035275
90,24817.8,1.43254,1.824,1.60421,0.41595,0.35546,0.33551,0.18939,1.63567,2.1637,1.81535,0.000349656,0.000349656,0.000349656
91,25506.5,1.42142,1.80645,1.59493,0.4154,0.36068,0.33194,0.18625,1.64005,2.15956,1.81751,0.000346563,0.000346563,0.000346563
92,26195.6,1.41987,1.80075,1.58553,0.42691,0.35802,0.33546,0.18848,1.63444,2.15441,1.81401,0.000343469,0.000343469,0.000343469
