epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6517,3.58289,4.98922,4.26358,0.00073,0.07603,0.00045,0.00015,3.42755,4.5952,4.15855,3.125e-05,3.125e-05,3.125e-05
2,18.145,3.61824,4.9712,4.24983,0.00049,0.07007,0.00034,0.00012,3.42606,4.5964,4.15832,6.86139e-05,6.86139e-05,6.86139e-05
3,25.806,3.56564,4.94136,4.23106,0.00069,0.09124,0.00044,0.00015,3.42649,4.59446,4.15677,0.000105829,0.000105829,0.000105829
4,33.5084,3.53068,4.88685,4.18689,0.00057,0.0933,0.0004,0.00014,3.42452,4.59363,4.15426,0.000142896,0.000142896,0.000142896
5,40.454,3.6053,4.85864,4.14613,0.0006,0.09089,0.00046,0.00015,3.42245,4.59487,4.15004,0.000179815,0.000179815,0.000179815
6,47.2166,3.53956,4.80443,4.09232,0.00415,0.09677,0.00227,0.0006,3.41874,4.59947,4.15047,0.000216584,0.000216584,0.000216584
7,53.6966,3.46139,4.71253,3.99907,0.00118,0.09224,0.0008,0.00024,3.41466,4.61826,4.16073,0.000253206,0.000253206,0.000253206
8,59.9075,3.46717,4.65879,3.90107,0.0011,0.09928,0.00093,0.00027,3.41569,4.65435,4.18685,0.000289679,0.000289679,0.000289679
9,66.4233,3.38578,4.60965,3.79913,0.00157,0.12756,0.00104,0.00035,3.39673,4.68999,4.19766,0.000326003,0.000326003,0.000326003
10,72.3938,3.34645,4.53659,3.70015,0.00143,0.12095,0.00119,0.00037,3.39414,4.76262,4.23042,0.000362179,0.000362179,0.000362179
11,77.7115,3.23682,4.51176,3.60439,0.00065,0.04216,0.00054,0.00022,3.4131,4.85196,4.29501,0.000398206,0.000398206,0.000398206
12,82.7369,3.13795,4.44169,3.49238,0.00029,0.00225,0.00015,4e-05,3.41153,4.93355,4.34569,0.000434085,0.000434085,0.000434085
13,87.87,3.03445,4.38355,3.37819,0.00068,0.01649,0.00038,0.0001,3.39536,5.00724,4.3845,0.000469816,0.000469816,0.000469816
14,93.0321,2.93786,4.33195,3.28571,0.00033,0.03159,0.00036,0.00011,3.4047,5.05572,4.39202,0.000505397,0.000505397,0.000505397
15,98.2708,2.8627,4.28347,3.16746,0,0,0,0,3.42679,5.12359,4.42982,0.000540831,0.000540831,0.000540831
