epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4182,2.49814,3.53023,1.32271,0.00395,0.01761,0.00212,0.00068,3.22419,inf,2.13769,0.0775,0.0025,0.0025
2,42.1143,1.94881,1.92493,1.07695,0.02255,0.03075,0.01351,0.00491,3.50545,inf,1.91498,0.0540748,0.00507475,0.00507475
3,52.2153,1.84532,1.67452,1.03925,0.04553,0.06441,0.02617,0.01074,2.60737,inf,1.19345,0.0306238,0.00762377,0.00762377
4,62.2725,1.81683,1.58226,1.02923,0.08881,0.11028,0.06268,0.03247,2.11067,3.08216,1.13983,0.0098515,0.0098515,0.0098515
5,71.5126,1.78384,1.53781,1.02421,0.09091,0.1073,0.0638,0.0296,2.08283,2.29763,1.12172,0.009802,0.009802,0.009802
6,81.0182,1.70725,1.45167,1.01008,0.13824,0.16821,0.10273,0.05189,1.95462,2.16364,1.06615,0.0097525,0.0097525,0.0097525
7,91.2548,1.71407,1.42107,1.00344,0.18949,0.16291,0.12449,0.06392,1.8583,1.66922,1.02107,0.009703,0.009703,0.009703
8,101.272,1.66569,1.36967,0.99258,0.14886,0.13385,0.10132,0.04949,2.0297,1.89882,1.10636,0.0096535,0.0096535,0.0096535
9,112.705,1.65226,1.3393,0.98308,0.31463,0.15569,0.14594,0.07644,1.7278,1.87177,1.00414,0.009604,0.009604,0.009604
10,123.953,1.63795,1.32076,0.98148,0.31504,0.19323,0.15278,0.0798,1.63091,1.56451,0.97858,0.0095545,0.0095545,0.0095545
11,133.692,1.6147,1.30719,0.97811,0.21077,0.25936,0.16029,0.08587,1.64704,1.6499,0.97926,0.009505,0.009505,0.009505
12,144.517,1.61027,1.29472,0.97732,0.2507,0.18176,0.14044,0.07437,1.70786,1.54625,0.9876,0.0094555,0.0094555,0.0094555
13,154.852,1.5793,1.23662,0.96807,0.27705,0.22029,0.17369,0.0932,1.66558,1.38802,0.98533,0.009406,0.009406,0.009406
14,165.091,1.5736,1.25219,0.97082,0.28586,0.22311,0.19294,0.10452,1.59614,1.48633,0.97251,0.0093565,0.0093565,0.0093565
15,175.538,1.57621,1.248,0.96434,0.27663,0.22659,0.19654,0.10998,1.60325,1.3574,0.96964,0.009307,0.009307,0.009307
16,185.671,1.55212,1.20759,0.96317,0.31243,0.23222,0.21311,0.11604,1.57026,1.25904,0.95928,0.0092575,0.0092575,0.0092575
17,196.38,1.53867,1.20368,0.96082,0.3229,0.21171,0.18804,0.10414,1.58712,1.32324,0.96675,0.009208,0.009208,0.009208
18,206.698,1.53408,1.20013,0.96125,0.31886,0.2624,0.23414,0.12872,1.54277,1.21648,0.95076,0.0091585,0.0091585,0.0091585
19,217.865,1.51706,1.1723,0.95346,0.33374,0.24666,0.21368,0.11693,1.58088,1.25365,0.95421,0.009109,0.009109,0.009109
20,228.935,1.51759,1.18029,0.9523,0.34689,0.25466,0.22929,0.12637,1.51697,1.26229,0.94112,0.0090595,0.0090595,0.0090595
21,239.368,1.52745,1.18151,0.95719,0.32859,0.25752,0.23173,0.12784,1.52957,1.18732,0.94198,0.00901,0.00901,0.00901
22,249.29,1.53468,1.17498,0.94945,0.35601,0.27632,0.24645,0.13603,1.52013,1.17255,0.94277,0.0089605,0.0089605,0.0089605
23,259.026,1.50371,1.16108,0.94778,0.33835,0.27125,0.24389,0.13655,1.47235,1.18575,0.93635,0.008911,0.008911,0.008911
24,269.114,1.49589,1.15607,0.94612,0.31373,0.26782,0.23211,0.127,1.5336,1.21346,0.93768,0.0088615,0.0088615,0.0088615
25,279.057,1.51218,1.15125,0.94983,0.34723,0.26068,0.24547,0.1351,1.48975,1.18566,0.93812,0.008812,0.008812,0.008812
26,288.835,1.47678,1.12881,0.94451,0.3175,0.2598,0.23958,0.13346,1.4935,1.1751,0.93189,0.0087625,0.0087625,0.0087625
27,299.28,1.48699,1.12462,0.94414,0.34285,0.25787,0.24004,0.13286,1.482,1.18602,0.93605,0.008713,0.008713,0.008713
28,309.287,1.49634,1.15671,0.94475,0.31608,0.26433,0.24035,0.1347,1.50665,1.21623,0.93818,0.0086635,0.0086635,0.0086635
29,319.658,1.48367,1.13087,0.94395,0.36833,0.27597,0.25968,0.1418,1.48264,1.13594,0.93018,0.008614,0.008614,0.008614
30,330.853,1.48393,1.12105,0.94127,0.33952,0.26779,0.24797,0.13772,1.49639,1.15358,0.93385,0.0085645,0.0085645,0.0085645
31,340.43,1.49124,1.12271,0.94366,0.35277,0.26694,0.25674,0.14512,1.46115,1.18442,0.93404,0.008515,0.008515,0.008515
32,351.617,1.49128,1.1171,0.94557,0.34597,0.28866,0.25845,0.14498,1.47665,1.12495,0.92709,0.0084655,0.0084655,0.0084655
33,361.824,1.46661,1.10466,0.9396,0.3549,0.27124,0.26147,0.14808,1.45779,1.143,0.9292,0.008416,0.008416,0.008416
34,372.025,1.48043,1.11134,0.94471,0.34402,0.25393,0.24467,0.13763,1.48032,1.20958,0.93525,0.0083665,0.0083665,0.0083665
35,382.487,1.4698,1.10196,0.9367,0.37296,0.27682,0.26492,0.14911,1.45524,1.14288,0.92662,0.008317,0.008317,0.008317
36,393.406,1.49101,1.11963,0.93914,0.36031,0.29333,0.26947,0.15204,1.44287,1.12157,0.92426,0.0082675,0.0082675,0.0082675
