epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0849,4.37251,4.73384,3.58399,0.01585,0.01817,0.00984,0.00299,3.8116,inf,2.39255,0.0775,0.0025,0.0025
2,26.1484,2.78524,2.3721,1.65287,0.51189,0.03554,0.02606,0.0084,2.72206,inf,1.55113,0.0540748,0.00507475,0.00507475
3,38.5769,2.28628,1.97779,1.29742,0.0456,0.04902,0.02481,0.00907,2.25051,inf,1.31338,0.0306238,0.00762377,0.00762377
4,51.2789,2.07018,1.78867,1.19841,0.04423,0.03308,0.02433,0.00923,2.1632,inf,1.23535,0.0098515,0.0098515,0.0098515
5,62.8083,2.05923,1.7359,1.17483,0.28294,0.09672,0.05245,0.02461,2.11424,2.03742,1.17795,0.009802,0.009802,0.009802
6,74.2431,1.89418,1.62078,1.12991,0.19296,0.08884,0.06164,0.0296,2.09616,2.649,1.12345,0.0097525,0.0097525,0.0097525
7,85.6036,1.90167,1.56811,1.1169,0.10643,0.12963,0.06895,0.0318,2.07469,1.97958,1.1113,0.009703,0.009703,0.009703
8,96.8336,1.81758,1.51355,1.0924,0.23746,0.12094,0.08412,0.04446,1.9415,1.94127,1.10519,0.0096535,0.0096535,0.0096535
9,107.801,1.82622,1.47622,1.08394,0.31492,0.17812,0.13755,0.06948,1.80872,1.47633,1.06278,0.009604,0.009604,0.009604
10,118.079,1.80451,1.45323,1.07669,0.20089,0.18519,0.13471,0.06881,1.87581,1.50064,1.05519,0.0095545,0.0095545,0.0095545
11,128.45,1.76727,1.41846,1.06401,0.23727,0.22389,0.16508,0.08352,1.72831,1.4015,1.02999,0.009505,0.009505,0.009505
12,139.783,1.76294,1.41162,1.05908,0.23413,0.22428,0.16708,0.0889,1.69932,1.42595,1.01634,0.0094555,0.0094555,0.0094555
