epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2622,2.47696,3.41122,1.37845,0.00226,0.00706,0.00117,0.00029,4.21029,4.37004,2.24686,0.0775,0.0025,0.0025
2,25.0722,1.89974,1.90858,1.06816,0.00028,0.00273,0.0001,2e-05,4.79704,inf,10.9319,0.0540748,0.00507475,0.00507475
3,35.6102,1.83784,1.69147,1.04228,0.02616,0.01372,0.01364,0.00443,3.82643,inf,2.81739,0.0306238,0.00762377,0.00762377
4,45.5306,1.77576,1.58247,1.02301,0.00673,0.02666,0.00404,0.00229,2.68446,inf,1.28751,0.0098515,0.0098515,0.0098515
5,55.2939,1.79347,1.5476,1.02928,0.19429,0.0874,0.04864,0.02072,2.30132,2.89241,1.18247,0.009802,0.009802,0.009802
6,65.8668,1.68619,1.45715,1.00872,0.10856,0.14535,0.08793,0.04434,1.85109,1.91391,1.03692,0.0097525,0.0097525,0.0097525
7,76.0542,1.68702,1.41407,0.99738,0.1601,0.16647,0.1097,0.06113,1.81449,1.69342,1.02401,0.009703,0.009703,0.009703
8,87.1018,1.64315,1.37596,0.98911,0.23832,0.14439,0.10111,0.05529,1.83836,1.82267,1.0399,0.0096535,0.0096535,0.0096535
9,96.0896,1.6536,1.35448,0.98453,0.20264,0.22255,0.15632,0.08349,1.67311,1.5048,0.9968,0.009604,0.009604,0.009604
10,105.771,1.60962,1.31137,0.97621,0.21877,0.1992,0.15914,0.08446,1.7045,1.43686,0.9836,0.0095545,0.0095545,0.0095545
11,116.607,1.61702,1.31254,0.97738,0.29659,0.17463,0.16567,0.08854,1.7291,1.56636,0.98683,0.009505,0.009505,0.009505
12,163.718,1.6049,1.29423,0.97687,0.22266,0.20165,0.15593,0.08276,1.63588,1.50043,0.97866,0.0094555,0.0094555,0.0094555
13,173.365,1.56484,1.23875,0.96517,0.25282,0.20899,0.17299,0.09479,1.63265,1.37974,0.96966,0.009406,0.009406,0.009406
14,183.33,1.57244,1.25841,0.97029,0.28406,0.23094,0.19865,0.10576,1.60842,1.33223,0.9627,0.0093565,0.0093565,0.0093565
15,235.289,1.56055,1.25575,0.96205,0.30742,0.22836,0.19208,0.1074,1.57886,1.35186,0.96235,0.009307,0.009307,0.009307
16,245.042,1.52891,1.21148,0.96069,0.27343,0.23747,0.19516,0.10424,1.53755,1.44093,0.95702,0.0092575,0.0092575,0.0092575
17,255.289,1.54455,1.2208,0.96313,0.2838,0.22459,0.18759,0.09995,1.59902,1.31489,0.96249,0.009208,0.009208,0.009208
18,265.424,1.53549,1.20862,0.96295,0.29725,0.24988,0.21902,0.12096,1.56186,1.32759,0.94725,0.0091585,0.0091585,0.0091585
19,274.732,1.51551,1.18098,0.95468,0.32098,0.26184,0.23092,0.12878,1.49896,1.21252,0.93876,0.009109,0.009109,0.009109
20,284.859,1.50585,1.17496,0.95125,0.32601,0.23969,0.21997,0.12034,1.56931,1.19581,0.95374,0.0090595,0.0090595,0.0090595
21,294.493,1.52039,1.17802,0.95665,0.32484,0.24826,0.23346,0.13036,1.51406,1.22114,0.94093,0.00901,0.00901,0.00901
22,304.101,1.52996,1.17867,0.94934,0.29368,0.25699,0.22593,0.1242,1.51252,1.20403,0.94553,0.0089605,0.0089605,0.0089605
23,313.544,1.49267,1.16241,0.94758,0.33635,0.2646,0.24306,0.13835,1.47421,1.15791,0.94115,0.008911,0.008911,0.008911
