epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5534,4.41769,4.04973,3.31305,0.0062,0.05011,0.01241,0.00412,3.8766,3.11886,2.26531,0.0775,0.0025,0.0025
2,22.7405,2.62694,2.27425,1.4973,0.10412,0.00522,0.00104,0.00031,3.12539,inf,1.74146,0.0540748,0.00507475,0.00507475
3,32.85,2.20727,1.91218,1.22691,0.03035,0.10425,0.02338,0.00949,2.64136,3.47818,1.29045,0.0306238,0.00762377,0.00762377
4,42.8145,2.02789,1.75805,1.15459,0.05714,0.11384,0.05509,0.02234,2.31299,2.45614,1.2193,0.0098515,0.0098515,0.0098515
5,53.2874,2.01412,1.69512,1.1382,0.19085,0.10472,0.06624,0.02972,2.22278,2.25649,1.19444,0.009802,0.009802,0.009802
6,63.3528,1.8988,1.59495,1.10655,0.15645,0.16334,0.10458,0.05047,1.99406,1.69919,1.12616,0.0097525,0.0097525,0.0097525
7,73.9253,1.86099,1.53939,1.08295,0.2691,0.15141,0.1089,0.05076,2.0245,1.74949,1.08001,0.009703,0.009703,0.009703
8,83.9908,1.81022,1.49206,1.06571,0.15092,0.18557,0.12334,0.05993,1.96724,1.79609,1.08895,0.0096535,0.0096535,0.0096535
9,93.6363,1.82679,1.46757,1.05984,0.23616,0.20736,0.1588,0.07971,1.83027,1.48834,1.05202,0.009604,0.009604,0.009604
10,103.203,1.7908,1.42885,1.05129,0.23708,0.20601,0.16204,0.08442,1.73794,1.47345,1.0292,0.0095545,0.0095545,0.0095545
11,113.512,1.74703,1.40917,1.03637,0.26005,0.23669,0.17665,0.08931,1.69635,1.42338,1.01576,0.009505,0.009505,0.009505
12,124.137,1.74735,1.39372,1.03676,0.28647,0.20448,0.12748,0.06626,1.73805,1.58915,1.01283,0.0094555,0.0094555,0.0094555
13,134.501,1.69633,1.32807,1.02024,0.31029,0.21063,0.1488,0.07627,1.71522,1.49103,1.01322,0.009406,0.009406,0.009406
14,145.053,1.69013,1.35245,1.02128,0.28346,0.22637,0.17691,0.09071,1.74847,1.39952,1.00833,0.0093565,0.0093565,0.0093565
15,155.097,1.68994,1.3396,1.01135,0.36149,0.23185,0.18908,0.1019,1.65883,1.33717,0.98927,0.009307,0.009307,0.009307
16,165.606,1.68401,1.30448,1.01784,0.27299,0.2461,0.20489,0.1036,1.68041,1.32761,1.00284,0.0092575,0.0092575,0.0092575
17,175.327,1.65261,1.28642,1.00828,0.28536,0.25016,0.21458,0.11264,1.61897,1.26172,0.98495,0.009208,0.009208,0.009208
18,185.042,1.64714,1.28303,1.00959,0.27506,0.23493,0.20046,0.10676,1.6853,1.32322,0.99339,0.0091585,0.0091585,0.0091585
19,195.254,1.63509,1.26238,1.00195,0.28763,0.23728,0.20589,0.11196,1.62906,1.2776,0.97719,0.009109,0.009109,0.009109
20,205.659,1.62271,1.26448,0.9973,0.29857,0.24099,0.2124,0.11425,1.60444,1.26275,0.97817,0.0090595,0.0090595,0.0090595
21,215.698,1.63008,1.26538,1.00224,0.31678,0.25364,0.22577,0.11869,1.58538,1.23475,0.97735,0.00901,0.00901,0.00901
22,224.98,1.63124,1.25095,0.98886,0.32103,0.24662,0.22515,0.12059,1.58586,1.23256,0.97844,0.0089605,0.0089605,0.0089605
23,234.961,1.58771,1.23307,0.98669,0.32064,0.24463,0.22315,0.1184,1.58164,1.24226,0.98004,0.008911,0.008911,0.008911
24,244.805,1.59115,1.23938,0.98836,0.29268,0.26192,0.22219,0.11784,1.60768,1.25718,0.97257,0.0088615,0.0088615,0.0088615
25,255.503,1.61417,1.22296,0.9902,0.3386,0.23703,0.22311,0.11977,1.58268,1.23377,0.97384,0.008812,0.008812,0.008812
26,265.9,1.56639,1.19729,0.98544,0.35704,0.2665,0.2454,0.13462,1.52762,1.20008,0.95569,0.0087625,0.0087625,0.0087625
27,276.582,1.56092,1.18842,0.97961,0.36043,0.26098,0.24128,0.12952,1.52309,1.17075,0.96171,0.008713,0.008713,0.008713
28,286.075,1.57871,1.21942,0.98249,0.32468,0.26705,0.2395,0.12959,1.53595,1.18963,0.95407,0.0086635,0.0086635,0.0086635
29,296.18,1.56577,1.19717,0.98102,0.35681,0.27054,0.24494,0.13173,1.55065,1.19688,0.95748,0.008614,0.008614,0.008614
30,306.952,1.57016,1.19445,0.97758,0.34894,0.26641,0.25043,0.1359,1.51367,1.18107,0.95652,0.0085645,0.0085645,0.0085645
31,316.931,1.55986,1.18229,0.97586,0.35311,0.26975,0.25122,0.13687,1.51945,1.15343,0.95335,0.008515,0.008515,0.008515
32,327.7,1.56544,1.1751,0.97942,0.34474,0.27111,0.25406,0.14126,1.49155,1.16505,0.95324,0.0084655,0.0084655,0.0084655
33,337.17,1.54052,1.16422,0.97346,0.3497,0.26672,0.25045,0.13754,1.49324,1.1315,0.95083,0.008416,0.008416,0.008416
34,346.857,1.54872,1.15926,0.97615,0.36848,0.26091,0.25395,0.14019,1.52282,1.17375,0.95409,0.0083665,0.0083665,0.0083665
35,357.127,1.53597,1.15549,0.96792,0.36305,0.2727,0.25567,0.13875,1.51828,1.14661,0.95202,0.008317,0.008317,0.008317
36,367.241,1.57229,1.18145,0.97375,0.35312,0.27023,0.24924,0.13616,1.5237,1.14734,0.95652,0.0082675,0.0082675,0.0082675
37,376.941,1.5273,1.15287,0.97384,0.38597,0.274,0.2652,0.14333,1.51763,1.12461,0.95102,0.008218,0.008218,0.008218
38,386.962,1.52143,1.13905,0.96222,0.38089,0.27901,0.26953,0.14755,1.48262,1.11678,0.9484,0.0081685,0.0081685,0.0081685
39,396.577,1.5257,1.13995,0.96423,0.35275,0.27099,0.25057,0.13807,1.51149,1.15993,0.95009,0.008119,0.008119,0.008119
40,407.147,1.51551,1.13298,0.96503,0.38456,0.27592,0.26103,0.14433,1.48685,1.13839,0.94359,0.0080695,0.0080695,0.0080695
41,417.481,1.51229,1.12708,0.96292,0.3734,0.27731,0.2665,0.14746,1.4818,1.13338,0.94154,0.00802,0.00802,0.00802
