epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4685,5.44941,5.71314,4.17213,3e-05,0.00014,0.00027,0.00014,5.89123,4.94079,4.16938,0.0001785,0.0001785,0.0001785
2,22.3725,4.38936,4.04109,3.33419,0.00011,0.00027,6e-05,3e-05,5.92634,5.2447,4.34864,0.000362338,0.000362338,0.000362338
3,32.582,3.50184,2.98259,2.38704,0.00014,0.00027,7e-05,3e-05,5.9604,5.51571,4.51517,0.000544337,0.000544337,0.000544337
4,41.9589,3.16348,2.66804,1.93596,0.02465,0.00118,0.01266,0.00373,5.604,5.24714,4.24736,0.000703397,0.000703397,0.000703397
5,50.984,2.89152,2.4306,1.68555,0.02126,0.05563,0.01868,0.00722,3.10467,2.98273,2.00436,0.000699863,0.000699863,0.000699863
6,61.3454,2.68519,2.25748,1.53022,0.03081,0.13585,0.03943,0.01444,2.69026,2.48528,1.57867,0.000696328,0.000696328,0.000696328
7,71.8082,2.54034,2.13281,1.42653,0.04192,0.15286,0.05788,0.02268,2.4987,2.16927,1.35914,0.000692794,0.000692794,0.000692794
8,81.5565,2.43388,2.04976,1.3759,0.30493,0.11473,0.07246,0.03181,2.34443,1.90378,1.29191,0.00068926,0.00068926,0.00068926
9,92.097,2.35543,1.96666,1.32642,0.2186,0.10652,0.07941,0.03584,2.32086,1.92356,1.24758,0.000685726,0.000685726,0.000685726
10,102.453,2.32513,1.93788,1.30772,0.32495,0.1119,0.08452,0.03823,2.23837,1.81262,1.22189,0.000682191,0.000682191,0.000682191
11,113.289,2.24466,1.89707,1.27163,0.24349,0.11817,0.09111,0.04272,2.12858,1.70604,1.19025,0.000678657,0.000678657,0.000678657
12,124.598,2.21396,1.85331,1.24343,0.35811,0.12474,0.09854,0.04731,2.09584,1.69269,1.17049,0.000675123,0.000675123,0.000675123
13,134.841,2.1871,1.82621,1.22428,0.27826,0.13389,0.10645,0.05094,2.07531,1.65704,1.15305,0.000671588,0.000671588,0.000671588
14,145.768,2.1313,1.75738,1.20051,0.29744,0.13009,0.10913,0.05233,2.04613,1.65177,1.1355,0.000668054,0.000668054,0.000668054
15,155.523,2.11641,1.76263,1.19435,0.19022,0.14208,0.1109,0.05429,1.9834,1.61941,1.12507,0.00066452,0.00066452,0.00066452
16,165.959,2.07324,1.72211,1.17463,0.18853,0.1462,0.11153,0.0533,2.03917,1.62683,1.11444,0.000660986,0.000660986,0.000660986
17,176.377,2.06524,1.69731,1.163,0.20423,0.15197,0.11972,0.05963,1.95875,1.58649,1.09392,0.000657451,0.000657451,0.000657451
18,186.338,2.04646,1.67697,1.15178,0.20595,0.14945,0.12201,0.06095,1.9519,1.55855,1.08896,0.000653917,0.000653917,0.000653917
