epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4386,1.92419,4.01949,1.15327,0.01654,0.08375,0.0402,0.02232,1.8833,inf,1.0111,0.0025,0.0025,0.0025
2,21.6912,1.91914,2.26626,1.06022,0.04289,0.13455,0.06729,0.03585,1.81626,inf,0.99023,0.0050899,0.0050899,0.0050899
3,31.1661,1.80796,1.84521,1.03863,0.04752,0.19185,0.07874,0.04197,1.86952,inf,1.00774,0.00766951,0.00766951,0.00766951
4,40.8642,1.86351,1.76642,1.04376,0.05801,0.23518,0.0953,0.05072,1.94272,inf,1.0283,0.0099406,0.0099406,0.0099406
5,50.877,1.80936,1.63437,1.02989,0.22189,0.14886,0.11702,0.06097,1.88863,1.85832,1.02765,0.0099208,0.0099208,0.0099208
6,61.2882,1.76019,1.52756,1.01728,0.13256,0.18814,0.11031,0.05685,1.92898,1.76397,1.04856,0.009901,0.009901,0.009901
7,71.7728,1.7107,1.47438,1.00051,0.21165,0.16559,0.1303,0.07144,1.78037,1.57049,1.0017,0.0098812,0.0098812,0.0098812
8,82.8714,1.68606,1.42304,0.99683,0.28844,0.19802,0.1715,0.09745,1.69597,1.44756,0.97969,0.0098614,0.0098614,0.0098614
9,92.8786,1.66062,1.37303,0.98815,0.27084,0.2163,0.18285,0.10132,1.64829,1.4271,0.97364,0.0098416,0.0098416,0.0098416
10,102.648,1.65523,1.36316,0.98909,0.27656,0.24529,0.20947,0.11322,1.59,1.33384,0.96783,0.0098218,0.0098218,0.0098218
11,112.035,1.63955,1.33642,0.98626,0.28948,0.24257,0.21364,0.11845,1.5297,1.29192,0.95438,0.009802,0.009802,0.009802
12,121.621,1.63021,1.32506,0.97744,0.30885,0.23712,0.21132,0.11792,1.58173,1.30831,0.95532,0.0097822,0.0097822,0.0097822
13,131.357,1.63603,1.31641,0.97633,0.30489,0.23762,0.21737,0.12193,1.54231,1.25123,0.95248,0.0097624,0.0097624,0.0097624
14,141.334,1.60175,1.28142,0.96971,0.29381,0.22677,0.20168,0.11419,1.61161,1.38995,0.96374,0.0097426,0.0097426,0.0097426
15,150.92,1.60463,1.28227,0.97276,0.31429,0.23772,0.21894,0.1243,1.52157,1.26415,0.945,0.0097228,0.0097228,0.0097228
16,160.823,1.5793,1.25043,0.96753,0.34373,0.26253,0.2353,0.1331,1.49519,1.22584,0.94577,0.009703,0.009703,0.009703
17,171.039,1.57166,1.23121,0.96492,0.34273,0.25998,0.23631,0.13383,1.50309,1.22186,0.93939,0.0096832,0.0096832,0.0096832
18,180.071,1.56919,1.22593,0.96681,0.33041,0.25636,0.237,0.1322,1.5201,1.22675,0.94441,0.0096634,0.0096634,0.0096634
19,189.376,1.54304,1.2125,0.96496,0.33554,0.2616,0.24177,0.13646,1.5051,1.21333,0.94223,0.0096436,0.0096436,0.0096436
20,199.617,1.57487,1.21509,0.96366,0.34175,0.26737,0.24661,0.13977,1.49348,1.19649,0.9371,0.0096238,0.0096238,0.0096238
21,209.407,1.54109,1.19708,0.95341,0.34882,0.26579,0.24858,0.13845,1.49409,1.19539,0.93898,0.009604,0.009604,0.009604
22,219.286,1.5493,1.18597,0.9527,0.34893,0.26782,0.24732,0.13812,1.51377,1.17964,0.94116,0.0095842,0.0095842,0.0095842
23,228.918,1.53052,1.18445,0.95312,0.35456,0.26435,0.24088,0.1343,1.49132,1.22213,0.93525,0.0095644,0.0095644,0.0095644
24,239.53,1.5424,1.18399,0.94902,0.34692,0.27166,0.24835,0.13992,1.50705,1.18252,0.93948,0.0095446,0.0095446,0.0095446
25,248.857,1.50853,1.14811,0.95515,0.35009,0.25725,0.24707,0.13814,1.48465,1.19125,0.94087,0.0095248,0.0095248,0.0095248
