epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6744,3.74462,4.08808,3.60505,0.00116,0.01337,0.00063,0.00019,3.93124,4.82719,4.12124,0.003309,0.003309,0.003309
2,168.615,2.9452,2.57014,2.27168,0.5751,0.0421,0.03468,0.01379,2.56479,2.14366,1.9431,0.00660946,0.00660946,0.00660946
3,247.563,2.37267,2.00236,1.75227,0.52382,0.08379,0.05978,0.02524,2.19404,1.7588,1.64277,0.00987691,0.00987691,0.00987691
4,328.174,2.01358,1.60028,1.47759,0.48221,0.14759,0.12015,0.05425,1.84095,1.36438,1.37387,0.0098515,0.0098515,0.0098515
5,409.018,1.81551,1.35899,1.3598,0.43334,0.17,0.1523,0.07293,1.69007,1.18266,1.29468,0.009802,0.009802,0.009802
6,485.211,1.71089,1.23519,1.30018,0.28216,0.20452,0.17673,0.08652,1.60914,1.10592,1.24389,0.0097525,0.0097525,0.0097525
7,559.102,1.64718,1.15477,1.26179,0.32966,0.22392,0.19661,0.09772,1.55817,1.04934,1.22059,0.009703,0.009703,0.009703
8,634.002,1.60498,1.10909,1.2386,0.32262,0.23603,0.21311,0.10484,1.53297,1.02061,1.20152,0.0096535,0.0096535,0.0096535
9,707.851,1.56902,1.07478,1.22024,0.39797,0.24912,0.2343,0.11798,1.4962,0.97794,1.18327,0.009604,0.009604,0.009604
10,780.777,1.54205,1.04317,1.20546,0.36813,0.26545,0.24624,0.12562,1.46901,0.96192,1.16748,0.0095545,0.0095545,0.0095545
11,856.917,1.52049,1.02299,1.19521,0.38317,0.26025,0.25318,0.12916,1.45616,0.9421,1.16263,0.009505,0.009505,0.009505
12,932.925,1.50486,1.00239,1.18721,0.39018,0.28124,0.26724,0.13754,1.43218,0.92281,1.14934,0.0094555,0.0094555,0.0094555
13,1009.66,1.49093,0.98684,1.17726,0.40225,0.27742,0.27235,0.14046,1.42418,0.90723,1.14451,0.009406,0.009406,0.009406
14,1086.93,1.47646,0.97553,1.17091,0.40202,0.29233,0.28194,0.14568,1.40819,0.8932,1.13705,0.0093565,0.0093565,0.0093565
15,1160.35,1.46472,0.96728,1.1644,0.3978,0.29821,0.28864,0.1485,1.4076,0.88297,1.13242,0.009307,0.009307,0.009307
16,1233.7,1.45355,0.95035,1.15658,0.41324,0.29852,0.29464,0.15219,1.39981,0.88699,1.12832,0.0092575,0.0092575,0.0092575
17,1307.87,1.44956,0.94969,1.15526,0.41133,0.30543,0.30423,0.158,1.3894,0.87101,1.12246,0.009208,0.009208,0.009208
18,1381.45,1.44525,0.94366,1.15262,0.42479,0.30938,0.30889,0.16075,1.38652,0.86713,1.12231,0.0091585,0.0091585,0.0091585
