epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2154,3.68538,4.00802,3.56744,0.00175,0.01598,0.00116,0.00037,3.83481,4.686,3.96376,0.003309,0.003309,0.003309
2,163.61,2.87169,2.49615,2.23818,0.565,0.03976,0.03213,0.01225,2.61303,2.14806,1.96316,0.00660946,0.00660946,0.00660946
3,240.891,2.32242,1.95784,1.72019,0.52818,0.09369,0.07198,0.03074,2.18463,1.69434,1.57774,0.00987691,0.00987691,0.00987691
4,322.537,1.98802,1.57041,1.45431,0.36016,0.14873,0.12755,0.06005,1.79012,1.31287,1.34405,0.0098515,0.0098515,0.0098515
5,397.473,1.7992,1.34019,1.34362,0.27973,0.1844,0.15975,0.07715,1.66358,1.1649,1.27349,0.009802,0.009802,0.009802
6,470.667,1.69913,1.22235,1.28771,0.43823,0.20776,0.18495,0.09101,1.5972,1.08212,1.23185,0.0097525,0.0097525,0.0097525
7,545.292,1.63926,1.1444,1.2511,0.33151,0.22802,0.20349,0.1008,1.53762,1.04533,1.20204,0.009703,0.009703,0.009703
8,617.835,1.59537,1.09883,1.22676,0.4487,0.24237,0.21773,0.10946,1.51874,1.00763,1.18649,0.0096535,0.0096535,0.0096535
9,690.54,1.55871,1.0651,1.2084,0.47157,0.26213,0.24105,0.12209,1.48353,0.97137,1.16845,0.009604,0.009604,0.009604
10,773.291,1.53217,1.03366,1.19298,0.46745,0.2752,0.25363,0.12834,1.45851,0.94992,1.15611,0.0095545,0.0095545,0.0095545
11,854.979,1.51131,1.01043,1.1822,0.49306,0.2669,0.26109,0.1347,1.43488,0.93235,1.14734,0.009505,0.009505,0.009505
12,928.637,1.4943,0.99341,1.17354,0.51721,0.28149,0.27514,0.14123,1.42164,0.91049,1.13636,0.0094555,0.0094555,0.0094555
13,1003.48,1.47945,0.97556,1.16369,0.5161,0.28856,0.28238,0.14681,1.41095,0.89008,1.13133,0.009406,0.009406,0.009406
14,1076.72,1.46517,0.9623,1.15697,0.51546,0.29369,0.28932,0.1513,1.39779,0.8849,1.12439,0.0093565,0.0093565,0.0093565
15,1150.9,1.45353,0.95392,1.15078,0.52768,0.29325,0.29263,0.15104,1.39711,0.87945,1.12265,0.009307,0.009307,0.009307
16,1225.12,1.44277,0.94055,1.14279,0.53531,0.29402,0.29834,0.15696,1.3871,0.87454,1.11831,0.0092575,0.0092575,0.0092575
17,1305.4,1.43937,0.93978,1.14156,0.53354,0.30661,0.30845,0.16017,1.37345,0.85472,1.11179,0.009208,0.009208,0.009208
18,1382.97,1.43477,0.93129,1.13829,0.42232,0.30971,0.30921,0.16302,1.36947,0.85208,1.10566,0.0091585,0.0091585,0.0091585
19,1457.47,1.42498,0.92047,1.13261,0.55195,0.30813,0.32047,0.16847,1.35906,0.8372,1.10204,0.009109,0.009109,0.009109
20,1529.23,1.42062,0.91702,1.12888,0.5405,0.32009,0.32029,0.16949,1.35428,0.8364,1.09728,0.0090595,0.0090595,0.0090595
21,1600.97,1.40744,0.90265,1.12107,0.44811,0.32178,0.32591,0.17281,1.34924,0.82586,1.09562,0.00901,0.00901,0.00901
22,1672.48,1.40676,0.90359,1.12091,0.55103,0.32677,0.32757,0.17248,1.34252,0.82473,1.09122,0.0089605,0.0089605,0.0089605
23,1745.35,1.39806,0.89623,1.11701,0.5463,0.33057,0.33252,0.17623,1.34114,0.8239,1.08996,0.008911,0.008911,0.008911
24,1826.47,1.39835,0.89083,1.11514,0.55481,0.33341,0.33717,0.17771,1.33661,0.81697,1.08785,0.0088615,0.0088615,0.0088615
25,1919.87,1.38619,0.88693,1.11179,0.57114,0.32861,0.33914,0.1798,1.33708,0.81275,1.0861,0.008812,0.008812,0.008812
26,1993.23,1.3818,0.88002,1.1077,0.46135,0.33363,0.34372,0.1828,1.32839,0.80543,1.0827,0.0087625,0.0087625,0.0087625
27,2076.75,1.37922,0.87385,1.10371,0.46417,0.3416,0.34621,0.18487,1.32396,0.80269,1.07818,0.008713,0.008713,0.008713
