epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5645,3.70812,4.08486,3.5894,0.0021,0.01665,0.00121,0.00037,3.68686,4.5861,3.8678,0.003309,0.003309,0.003309
2,192.455,3.0064,2.67696,2.31339,0.66951,0.03319,0.02836,0.01044,2.72177,2.27362,1.986,0.00660946,0.00660946,0.00660946
3,274.168,2.43537,2.0861,1.76652,0.5442,0.0846,0.07019,0.03036,2.17893,1.75036,1.5657,0.00987691,0.00987691,0.00987691
4,348.267,2.04279,1.64212,1.46891,0.27084,0.13696,0.11246,0.05147,1.8605,1.38651,1.36824,0.0098515,0.0098515,0.0098515
5,420.707,1.84792,1.39861,1.35088,0.23049,0.14872,0.13032,0.06153,1.75056,1.29733,1.31082,0.009802,0.009802,0.009802
6,496.425,1.7355,1.27565,1.28832,0.27427,0.20062,0.17007,0.0818,1.64678,1.16846,1.2401,0.0097525,0.0097525,0.0097525
7,573.458,1.66787,1.19045,1.24865,0.42223,0.2133,0.19249,0.09545,1.57286,1.08718,1.20262,0.009703,0.009703,0.009703
8,649.138,1.62427,1.13839,1.22487,0.42021,0.2302,0.20719,0.10261,1.54957,1.05178,1.18884,0.0096535,0.0096535,0.0096535
9,719.895,1.58565,1.10033,1.20472,0.45817,0.24501,0.22408,0.11362,1.50098,0.99787,1.16452,0.009604,0.009604,0.009604
10,794.045,1.55385,1.06513,1.18638,0.43451,0.25673,0.23201,0.11677,1.48307,0.98442,1.15327,0.0095545,0.0095545,0.0095545
11,867.474,1.52984,1.04226,1.17407,0.36425,0.25997,0.24908,0.1269,1.46196,0.95094,1.1409,0.009505,0.009505,0.009505
12,939.63,1.51385,1.02009,1.16395,0.38792,0.27517,0.26205,0.13408,1.43826,0.93938,1.12751,0.0094555,0.0094555,0.0094555
13,1012.34,1.49815,1.00161,1.15306,0.40299,0.28444,0.27526,0.14185,1.42698,0.91621,1.11937,0.009406,0.009406,0.009406
14,1080.92,1.48235,0.98743,1.14429,0.38616,0.28424,0.27103,0.13918,1.42192,0.91729,1.11679,0.0093565,0.0093565,0.0093565
15,1151.56,1.47124,0.97759,1.13753,0.49942,0.28354,0.27756,0.14369,1.41228,0.90818,1.10914,0.009307,0.009307,0.009307
16,1225.51,1.45895,0.96426,1.12789,0.5112,0.2942,0.28874,0.15111,1.39675,0.88692,1.10386,0.0092575,0.0092575,0.0092575
17,1296.72,1.45654,0.96332,1.12669,0.5206,0.3024,0.29871,0.15478,1.39233,0.88199,1.09826,0.009208,0.009208,0.009208
18,1368.45,1.45025,0.95518,1.12312,0.50404,0.30421,0.30027,0.15724,1.37846,0.86548,1.09134,0.0091585,0.0091585,0.0091585
19,1445.07,1.44084,0.94473,1.11805,0.52669,0.309,0.30758,0.16066,1.37821,0.86331,1.09137,0.009109,0.009109,0.009109
20,1517.04,1.43594,0.94075,1.11272,0.54253,0.30787,0.31065,0.1612,1.36918,0.85543,1.0834,0.0090595,0.0090595,0.0090595
21,1588,1.42434,0.92832,1.10545,0.53001,0.31248,0.3156,0.16513,1.36651,0.85452,1.08142,0.00901,0.00901,0.00901
22,1659.09,1.42913,0.93448,1.10385,0.5344,0.31858,0.31924,0.16676,1.3733,0.86054,1.07463,0.0089605,0.0089605,0.0089605
23,1730.76,1.43392,0.93361,1.09791,0.54361,0.32002,0.32313,0.16893,1.37296,0.85421,1.0703,0.008911,0.008911,0.008911
24,1800.98,1.43946,0.93421,1.09369,0.44748,0.31575,0.32599,0.17102,1.37769,0.86368,1.06396,0.0088615,0.0088615,0.0088615
25,1872.32,1.43509,0.93331,1.0875,0.53425,0.3233,0.32392,0.16882,1.37889,0.86398,1.05922,0.008812,0.008812,0.008812
26,1945.59,1.43113,0.92999,1.08095,0.54581,0.32584,0.33196,0.17461,1.37358,0.85547,1.05572,0.0087625,0.0087625,0.0087625
27,2017.46,1.42855,0.92547,1.07612,0.45976,0.32419,0.33258,0.17548,1.37062,0.85177,1.05115,0.008713,0.008713,0.008713
28,2096.74,1.4318,0.9255,1.07164,0.44325,0.33576,0.3354,0.17748,1.36805,0.84773,1.04813,0.0086635,0.0086635,0.0086635
29,2166.47,1.42763,0.92542,1.0715,0.45947,0.33687,0.3408,0.17849,1.36539,0.84636,1.04561,0.008614,0.008614,0.008614
30,2235.1,1.4206,0.9206,1.06658,0.46042,0.33387,0.34342,0.18101,1.36074,0.84125,1.04123,0.0085645,0.0085645,0.0085645
31,2305.36,1.41492,0.91383,1.06063,0.45381,0.3383,0.34293,0.18169,1.36043,0.83702,1.04058,0.008515,0.008515,0.008515
32,2374.24,1.41569,0.91226,1.06182,0.46106,0.33845,0.34688,0.18447,1.35885,0.83717,1.03747,0.0084655,0.0084655,0.0084655
33,2444.92,1.41299,0.91044,1.05871,0.45792,0.34154,0.34786,0.18422,1.35482,0.83049,1.03549,0.008416,0.008416,0.008416
