epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.617,3.73021,4.05174,3.56837,0.00049,0.0138,0.0003,9e-05,3.91354,4.84485,4.11367,0.003309,0.003309,0.003309
2,184.878,2.87106,2.49627,2.21682,0.56824,0.04176,0.03253,0.01258,2.56834,2.11572,1.96676,0.00662042,0.00662042,0.00662042
3,273.079,2.33078,1.96739,1.71938,0.44702,0.10289,0.07752,0.03318,2.1256,1.68178,1.56585,0.00990983,0.00990983,0.00990983
4,349.168,1.98201,1.55895,1.45411,0.58888,0.14796,0.12493,0.0579,1.79514,1.30423,1.34309,0.009901,0.009901,0.009901
5,421.5,1.79063,1.32752,1.33903,0.37779,0.17634,0.15873,0.07641,1.66195,1.17042,1.26973,0.009868,0.009868,0.009868
6,540.237,1.69047,1.21154,1.28344,0.28795,0.20907,0.18406,0.09081,1.5947,1.08531,1.23441,0.009835,0.009835,0.009835
7,670.89,1.62861,1.13445,1.24558,0.30567,0.22145,0.19748,0.09984,1.54727,1.0388,1.21211,0.009802,0.009802,0.009802
8,763.712,1.58816,1.09111,1.22361,0.32958,0.25063,0.22182,0.11087,1.50372,0.98757,1.18012,0.009769,0.009769,0.009769
9,840.466,1.55207,1.05756,1.2061,0.46627,0.25953,0.23892,0.12087,1.48447,0.95895,1.17063,0.009736,0.009736,0.009736
10,913.693,1.52729,1.02983,1.19216,0.37181,0.26631,0.25127,0.12745,1.45928,0.9449,1.15535,0.009703,0.009703,0.009703
11,989.787,1.50657,1.00749,1.18118,0.39608,0.26998,0.26275,0.13623,1.44007,0.92584,1.1476,0.00967,0.00967,0.00967
12,1062.17,1.49057,0.9892,1.17296,0.41104,0.27757,0.27219,0.14052,1.42033,0.91167,1.13823,0.009637,0.009637,0.009637
13,1150.52,1.47525,0.97439,1.16407,0.40932,0.28369,0.27743,0.14558,1.4074,0.89633,1.13095,0.009604,0.009604,0.009604
14,1226.42,1.4617,0.9621,1.15695,0.40263,0.29463,0.29033,0.15209,1.39391,0.88214,1.1248,0.009571,0.009571,0.009571
15,1312.06,1.45119,0.95162,1.15176,0.42372,0.29372,0.29301,0.15206,1.39489,0.87831,1.12209,0.009538,0.009538,0.009538
16,1406.49,1.44116,0.93943,1.14305,0.43691,0.29249,0.29758,0.15748,1.38144,0.87045,1.11575,0.009505,0.009505,0.009505
17,1480.93,1.43905,0.93724,1.14167,0.52473,0.30433,0.30565,0.16071,1.37223,0.86069,1.11022,0.009472,0.009472,0.009472
18,1571.74,1.43157,0.92957,1.13802,0.43318,0.30565,0.31136,0.16374,1.36594,0.85101,1.10658,0.009439,0.009439,0.009439
19,1643.17,1.42428,0.91933,1.13343,0.43691,0.31297,0.31974,0.16744,1.36123,0.84364,1.10299,0.009406,0.009406,0.009406
20,1714.46,1.42146,0.91801,1.12978,0.42775,0.31482,0.31853,0.16986,1.34964,0.83543,1.09606,0.009373,0.009373,0.009373
21,1793.06,1.40749,0.90376,1.122,0.447,0.31934,0.32364,0.17155,1.34921,0.83037,1.09658,0.00934,0.00934,0.00934
22,1884.79,1.40513,0.90492,1.1211,0.43965,0.32311,0.32756,0.17361,1.34698,0.82511,1.09077,0.009307,0.009307,0.009307
23,1987.29,1.40112,0.89732,1.11752,0.44717,0.32802,0.33148,0.17389,1.34344,0.81884,1.08945,0.009274,0.009274,0.009274
24,2066.34,1.39845,0.89174,1.11401,0.45527,0.33376,0.33738,0.17845,1.33406,0.81313,1.08478,0.009241,0.009241,0.009241
25,2160.56,1.38818,0.88678,1.10956,0.46101,0.33614,0.34232,0.18196,1.32963,0.81007,1.07982,0.009208,0.009208,0.009208
26,2253.59,1.38147,0.88185,1.10454,0.44892,0.33542,0.34056,0.18199,1.32646,0.80783,1.07922,0.009175,0.009175,0.009175
27,2342.71,1.37922,0.87622,1.10171,0.46608,0.33996,0.34756,0.18511,1.32673,0.80802,1.07658,0.009142,0.009142,0.009142
28,2437.9,1.38189,0.87797,1.09841,0.48433,0.33414,0.35188,0.18785,1.32314,0.79856,1.07368,0.009109,0.009109,0.009109
29,2541.23,1.38739,0.88195,1.10053,0.46915,0.34028,0.347,0.18506,1.33877,0.8129,1.07414,0.009076,0.009076,0.009076
30,2629.02,1.39101,0.88777,1.09415,0.47221,0.34165,0.35625,0.19019,1.33679,0.81119,1.06995,0.009043,0.009043,0.009043
31,2723.46,1.39377,0.88839,1.08736,0.47989,0.34398,0.35744,0.18998,1.3446,0.81834,1.06358,0.00901,0.00901,0.00901
